State,Commodity,avg_modal,median_modal,latest_modal,min_p,max_p,last_date,n_records
Andhra Pradesh,Onion,1678,1500,1037,605.0,3200.0,2025-12-05,131
Andhra Pradesh,Potato,2173,2100,2600,1100.0,4000.0,2025-12-05,199
Andhra Pradesh,Rice,4636,4700,4500,4400.0,4800.0,2025-12-05,11
Assam,Onion,1880,1850,1230,1050.0,2620.0,2025-12-05,52
Assam,Potato,1191,1200,1260,800.0,1750.0,2025-12-05,99
Assam,Rice,3157,3160,3165,3140.0,3175.0,2025-12-05,17
Bihar,Onion,2555,2430,1300,1300.0,4100.0,2025-12-05,229
Bihar,Potato,1526,1500,1900,900.0,3200.0,2025-12-05,255
Chandigarh,Onion,1710,1600,1500,1100.0,2500.0,2025-12-04,21
Chandigarh,Potato,669,650,400,400.0,1200.0,2025-12-04,26
Chhattisgarh,Onion,1932,1800,1800,1000.0,3500.0,2025-12-04,63
Chhattisgarh,Potato,1634,1700,1200,800.0,2500.0,2025-12-05,91
Delhi,Onion,1620,1594,1000,938.0,2700.0,2025-12-05,65
Delhi,Potato,1154,1053,830,800.0,2400.0,2025-12-05,79
Delhi,Rice,5062,5062,5000,5000.0,5125.0,2025-11-04,2
Goa,Potato,1900,1900,1800,1800.0,2000.0,2025-10-06,2
Gujarat,Onion,1529,1400,875,530.0,7325.0,2025-12-05,418
Gujarat,Potato,1388,1300,1300,200.0,3100.0,2025-12-05,543
Gujarat,Rice,5518,5500,5500,5500.0,5600.0,2025-12-05,10
Haryana,Onion,1731,1600,1050,600.0,3600.0,2025-12-05,1248
Haryana,Potato,950,900,800,230.0,3000.0,2025-12-05,1657
Himachal Pradesh,Onion,2285,2200,1270,1120.0,3500.0,2025-12-05,424
Himachal Pradesh,Potato,1278,1200,1050,700.0,3000.0,2025-12-05,520
Himachal Pradesh,Rice,3239,3200,3325,3100.0,3350.0,2025-12-05,15
Jammu & Kashmir,Onion,2396,2500,2100,1250.0,3800.0,2025-12-04,111
Jammu & Kashmir,Potato,1290,1250,1100,550.0,3300.0,2025-12-05,159
Karnataka,Onion,2195,2062,1500,720.0,3800.0,2025-12-05,107
Karnataka,Potato,2189,2020,2700,1100.0,4167.0,2025-12-05,143
Karnataka,Rice,3389,3000,4850,1800.0,6400.0,2025-12-05,37
Kerala,Onion,3947,3500,2000,1700.0,48040.0,2025-12-05,889
Kerala,Potato,3884,3500,3700,1600.0,29280.0,2025-12-05,1025
Kerala,Rice,4762,4750,4750,4400.0,4900.0,2025-12-05,17
Madhya Pradesh,Onion,1127,1000,700,100.0,6001.0,2025-12-05,740
Madhya Pradesh,Potato,1180,1200,1128,190.0,2975.0,2025-12-05,485
Maharashtra,Onion,1392,1280,1010,240.0,3000.0,2025-12-05,1057
Maharashtra,Potato,1653,1650,1500,750.0,5000.0,2025-12-05,638
Maharashtra,Rice,3956,3800,5300,2600.0,6750.0,2025-12-05,87
Manipur,Onion,3617,3250,2750,2750.0,4750.0,2025-12-05,30
Manipur,Potato,2278,2250,1750,1750.0,3750.0,2025-12-05,36
Manipur,Rice,5250,5250,5200,5200.0,5300.0,2025-12-05,16
Meghalaya,Potato,2410,2200,2200,1300.0,3600.0,2025-12-05,10
Nagaland,Onion,5500,5500,5000,5000.0,6000.0,2025-07-05,2
Nagaland,Potato,3897,4100,4100,2000.0,5100.0,2025-12-05,33
Odisha,Onion,2726,2600,2000,1250.0,5200.0,2025-12-05,293
Odisha,Potato,2235,2000,2000,1000.0,4500.0,2025-12-05,396
Odisha,Rice,3900,3500,4000,3500.0,4500.0,2025-11-05,13
Punjab,Onion,1819,1800,1600,500.0,3500.0,2025-12-05,891
Punjab,Potato,892,800,700,200.0,2900.0,2025-12-05,1260
Punjab,Wheat,2526,2532,2620,2429.0,2621.0,2025-08-14,14
Rajasthan,Onion,1558,1500,1650,500.0,3500.0,2025-12-05,513
Rajasthan,Potato,1160,1100,1300,600.0,3000.0,2025-12-05,653
Rajasthan,Rice,3131,3128,3150,3120.0,3150.0,2025-11-04,8
Rajasthan,Wheat,2518,2501,2498,2100.0,4600.0,2025-08-14,4055
Tamil Nadu,Onion,3625,3500,2500,1000.0,9000.0,2025-12-05,3010
Tamil Nadu,Potato,4102,4000,4000,2400.0,45400.0,2025-12-05,3444
Uttar Pradesh,Onion,1722,1620,1265,700.0,5520.0,2025-12-05,3028
Uttar Pradesh,Potato,1142,1120,1200,500.0,3200.0,2025-12-05,3964
Uttar Pradesh,Rice,3214,3230,3040,2100.0,8385.0,2025-12-05,761
Uttar Pradesh,Wheat,2498,2500,2435,1570.0,3640.0,2025-08-14,8312
Uttarakhand,Onion,880,880,950,810.0,950.0,2025-11-02,2
Uttarakhand,Potato,850,850,850,850.0,850.0,2025-09-02,2
Uttarakhand,Rice,2893,2920,2920,2810.0,2950.0,2025-12-05,3
West Bengal,Onion,2236,2100,1400,1250.0,3600.0,2025-12-05,872
West Bengal,Potato,1320,1260,1280,720.0,2400.0,2025-12-05,1199
West Bengal,Rice,4012,3700,4400,900.0,5900.0,2025-12-05,319
West Bengal,Wheat,2761,2610,3550,2475.0,3550.0,2025-08-14,671
